,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Value
37618,B6CRSI01,"Secondary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,9181.7
37619,B6CRSI01,"Secondary income, credits",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,9377.4
37620,B6DBSI01,"Secondary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,248.8
37621,B6DBSI01,"Secondary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,293.1
37622,B6DBSI01,"Secondary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,263.2
37623,B6DBSI01,"Secondary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,276.2
37624,B6DBSI01,"Secondary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,245.9
37625,B6DBSI01,"Secondary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,265.3
37626,B6DBSI01,"Secondary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,293.2
37627,B6DBSI01,"Secondary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,276.6
37628,B6DBSI01,"Secondary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,242.1
37629,B6FATT01,"Financial account, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,-8736.0
37630,B6FATT01,"Financial account, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,-4868.1
37631,B6FATT01,"Financial account, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-10095.9
37632,B6FATT01,"Financial account, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-9800.9
37633,B6FATT01,"Financial account, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,-10407.2
37634,B6FATT01,"Financial account, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,-1715.0
37635,B6FATT01,"Financial account, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,-589.7
37636,B6FATT01,"Financial account, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,-2229.3
37637,B6FATT01,"Financial account, net",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,-3454.6
37638,B6FADI02,"Direct investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,4500.5
37639,B6FADI02,"Direct investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,3882.9
37640,B6FADI02,"Direct investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,2836.5
37641,B6FADI02,"Direct investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,404.8
37642,B6FADI02,"Direct investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,2204.8
37643,B6FADI02,"Direct investment, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,729.3
