,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,Reference Period Code,Reference Period,Value
5430,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2018-Q1,Q1-2018,IDX,Index,2015_100,2015=100,115.8689
5431,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2018-Q2,Q2-2018,IDX,Index,2015_100,2015=100,115.4567
5432,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2018-Q3,Q3-2018,IDX,Index,2015_100,2015=100,117.3287
5433,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2018-Q4,Q4-2018,IDX,Index,2015_100,2015=100,119.7701
5434,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2019-Q1,Q1-2019,IDX,Index,2015_100,2015=100,121.1859
5435,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2019-Q2,Q2-2019,IDX,Index,2015_100,2015=100,121.4367
5436,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2019-Q3,Q3-2019,IDX,Index,2015_100,2015=100,122.4885
5437,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2019-Q4,Q4-2019,IDX,Index,2015_100,2015=100,123.8689
5438,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,Q,Quarterly,2020-Q1,Q1-2020,IDX,Index,2015_100,2015=100,127.6774
5439,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2015-Q1,Q1-2015,IDX,Index,2015_100,2015=100,99.27448
5440,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2015-Q2,Q2-2015,IDX,Index,2015_100,2015=100,99.798
5441,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2015-Q3,Q3-2015,IDX,Index,2015_100,2015=100,100.254
5442,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2015-Q4,Q4-2015,IDX,Index,2015_100,2015=100,100.6735
5443,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2016-Q1,Q1-2016,IDX,Index,2015_100,2015=100,101.2413
5444,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2016-Q2,Q2-2016,IDX,Index,2015_100,2015=100,101.828
5445,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2016-Q3,Q3-2016,IDX,Index,2015_100,2015=100,102.3478
5446,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2016-Q4,Q4-2016,IDX,Index,2015_100,2015=100,102.8524
5447,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2017-Q1,Q1-2017,IDX,Index,2015_100,2015=100,103.5491
5448,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2017-Q2,Q2-2017,IDX,Index,2015_100,2015=100,104.1639
5449,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2017-Q3,Q3-2017,IDX,Index,2015_100,2015=100,104.7341
5450,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2017-Q4,Q4-2017,IDX,Index,2015_100,2015=100,105.3205
5451,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2018-Q1,Q1-2018,IDX,Index,2015_100,2015=100,105.9719
5452,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2018-Q2,Q2-2018,IDX,Index,2015_100,2015=100,106.6404
5453,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2018-Q3,Q3-2018,IDX,Index,2015_100,2015=100,107.2914
5454,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2018-Q4,Q4-2018,IDX,Index,2015_100,2015=100,107.8913
5455,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2019-Q1,Q1-2019,IDX,Index,2015_100,2015=100,108.5907
5456,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2019-Q2,Q2-2019,IDX,Index,2015_100,2015=100,109.4589
5457,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2019-Q3,Q3-2019,IDX,Index,2015_100,2015=100,110.1852
5458,CP040200,CPI: 04.2 - CPI Imputed rentals for housing,IXOB,Index,Q,Quarterly,2019-Q4,Q4-2019,IDX,Index,2015_100,2015=100,110.8308
