,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value
17852,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2017-02,Feb-2017,PC,Percentage,0,Units,,,-0.3077333
17853,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2017-03,Mar-2017,PC,Percentage,0,Units,,,-1.654564
17854,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2017-04,Apr-2017,PC,Percentage,0,Units,,,-1.159627
17855,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2017-05,May-2017,PC,Percentage,0,Units,,,0.08752952
17856,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2017-06,Jun-2017,PC,Percentage,0,Units,,,-1.5679319999999999
17857,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2017-07,Jul-2017,PC,Percentage,0,Units,,,-0.28598870000000004
17858,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2017-08,Aug-2017,PC,Percentage,0,Units,,,0.4247759
17859,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2017-09,Sep-2017,PC,Percentage,0,Units,,,0.8641177
17860,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2017-10,Oct-2017,PC,Percentage,0,Units,,,2.276548
17861,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2017-11,Nov-2017,PC,Percentage,0,Units,,,2.277174
17862,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2017-12,Dec-2017,PC,Percentage,0,Units,,,0.48651990000000006
17863,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2018-01,Jan-2018,PC,Percentage,0,Units,,,1.862411
17864,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2018-02,Feb-2018,PC,Percentage,0,Units,,,-0.26951040000000004
17865,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2018-03,Mar-2018,PC,Percentage,0,Units,,,0.45373909999999995
17866,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2018-04,Apr-2018,PC,Percentage,0,Units,,,-0.01589828
17867,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2018-05,May-2018,PC,Percentage,0,Units,,,3.3182129999999996
17868,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2018-06,Jun-2018,PC,Percentage,0,Units,,,2.545994
17869,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2018-07,Jul-2018,PC,Percentage,0,Units,,,-1.462122
17870,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2018-08,Aug-2018,PC,Percentage,0,Units,,,-0.9814174000000001
17871,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2018-09,Sep-2018,PC,Percentage,0,Units,,,1.535036
17872,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2018-10,Oct-2018,PC,Percentage,0,Units,,,0.9617372
17873,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2018-11,Nov-2018,PC,Percentage,0,Units,,,0.35830690000000004
17874,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2018-12,Dec-2018,PC,Percentage,0,Units,,,-1.706078
17875,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2019-01,Jan-2019,PC,Percentage,0,Units,,,-0.804426
17876,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2019-02,Feb-2019,PC,Percentage,0,Units,,,0.6835505000000001
17877,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2019-03,Mar-2019,PC,Percentage,0,Units,,,0.574014
17878,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2019-04,Apr-2019,PC,Percentage,0,Units,,,0.2888412
17879,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2019-05,May-2019,PC,Percentage,0,Units,,,-0.1890353
17880,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2019-06,Jun-2019,PC,Percentage,0,Units,,,-0.03240604
17881,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2019-07,Jul-2019,PC,Percentage,0,Units,,,-0.11325919999999999
17882,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2019-08,Aug-2019,PC,Percentage,0,Units,,,-0.26859079999999996
17883,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2019-09,Sep-2019,PC,Percentage,0,Units,,,0.7833121
17884,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2019-10,Oct-2019,PC,Percentage,0,Units,,,-0.8111535
17885,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2019-11,Nov-2019,PC,Percentage,0,Units,,,-0.1002464
17886,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2019-12,Dec-2019,PC,Percentage,0,Units,,,0.4539787
17887,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2020-01,Jan-2020,PC,Percentage,0,Units,,,-0.6314416
17888,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2020-02,Feb-2020,PC,Percentage,0,Units,,,-0.3190812
17889,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2020-03,Mar-2020,PC,Percentage,0,Units,,,1.7111599999999998
17890,PIEATI02,Economic activities - Domestic producer prices - Industrial Activities,GP,Percentage change from previous period,M,Monthly,2020-04,Apr-2020,PC,Percentage,0,Units,,,2.2890599999999997
17891,PIEAMI02,Economic activities - Domestic Producer prices - Mining and quarrying activities,GP,Percentage change from previous period,M,Monthly,2017-01,Jan-2017,PC,Percentage,0,Units,,,8.512716000000001
17892,PIEAMI02,Economic activities - Domestic Producer prices - Mining and quarrying activities,GP,Percentage change from previous period,M,Monthly,2017-02,Feb-2017,PC,Percentage,0,Units,,,-3.616653
17893,PIEAMI02,Economic activities - Domestic Producer prices - Mining and quarrying activities,GP,Percentage change from previous period,M,Monthly,2017-03,Mar-2017,PC,Percentage,0,Units,,,-8.013475999999999
17894,PIEAMI02,Economic activities - Domestic Producer prices - Mining and quarrying activities,GP,Percentage change from previous period,M,Monthly,2017-04,Apr-2017,PC,Percentage,0,Units,,,-2.5041599999999997
17895,PIEAMI02,Economic activities - Domestic Producer prices - Mining and quarrying activities,GP,Percentage change from previous period,M,Monthly,2017-05,May-2017,PC,Percentage,0,Units,,,1.3806559999999999
17896,PIEAMI02,Economic activities - Domestic Producer prices - Mining and quarrying activities,GP,Percentage change from previous period,M,Monthly,2017-06,Jun-2017,PC,Percentage,0,Units,,,-6.433351
17897,PIEAMI02,Economic activities - Domestic Producer prices - Mining and quarrying activities,GP,Percentage change from previous period,M,Monthly,2017-07,Jul-2017,PC,Percentage,0,Units,,,2.364018
17898,PIEAMI02,Economic activities - Domestic Producer prices - Mining and quarrying activities,GP,Percentage change from previous period,M,Monthly,2017-08,Aug-2017,PC,Percentage,0,Units,,,2.439046
17899,PIEAMI02,Economic activities - Domestic Producer prices - Mining and quarrying activities,GP,Percentage change from previous period,M,Monthly,2017-09,Sep-2017,PC,Percentage,0,Units,,,3.7076309999999997
17900,PIEAMI02,Economic activities - Domestic Producer prices - Mining and quarrying activities,GP,Percentage change from previous period,M,Monthly,2017-10,Oct-2017,PC,Percentage,0,Units,,,6.169333
