,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value
843,B1_GA,Gross domestic product at market prices - output approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,,,5753964.815
844,B1_GA,Gross domestic product at market prices - output approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,,,5831423.5425
845,B1_GA,Gross domestic product at market prices - output approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,,,5934611.9725
846,B1_GA,Gross domestic product at market prices - output approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,MXN,Mexican Peso,6,Millions,,,6005029.2525
847,B1_GA,Gross domestic product at market prices - output approach,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,MXN,Mexican Peso,6,Millions,,,6038871.8625
848,B1_GA,Gross domestic product at market prices - output approach,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,2013,2013,18023815.37
849,B1_GA,Gross domestic product at market prices - output approach,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,2013,2013,18674643.61
850,B1_GA,Gross domestic product at market prices - output approach,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,2013,2013,18407552.3
851,B1_GA,Gross domestic product at market prices - output approach,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2018-Q4,Q4-2018,MXN,Mexican Peso,6,Millions,2013,2013,18979284.43
852,B1_GA,Gross domestic product at market prices - output approach,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2019-Q1,Q1-2019,MXN,Mexican Peso,6,Millions,2013,2013,18228099.37
853,B1_GA,Gross domestic product at market prices - output approach,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2019-Q2,Q2-2019,MXN,Mexican Peso,6,Millions,2013,2013,18460530.85
854,B1_GA,Gross domestic product at market prices - output approach,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2019-Q3,Q3-2019,MXN,Mexican Peso,6,Millions,2013,2013,18331137.0
855,B1_GA,Gross domestic product at market prices - output approach,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2019-Q4,Q4-2019,MXN,Mexican Peso,6,Millions,2013,2013,18840258.81
856,B1_GA,Gross domestic product at market prices - output approach,VNBAR,"National currency, constant prices, national base year, annual levels",Q,Quarterly,2020-Q1,Q1-2020,MXN,Mexican Peso,6,Millions,2013,2013,17977622.05
857,B1_GA,Gross domestic product at market prices - output approach,VNBARSA,"National currency, constant prices, national base year, annual levels, seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,2013,2013,18528367.09
858,B1_GA,Gross domestic product at market prices - output approach,VNBARSA,"National currency, constant prices, national base year, annual levels, seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,2013,2013,18516876.87
859,B1_GA,Gross domestic product at market prices - output approach,VNBARSA,"National currency, constant prices, national base year, annual levels, seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,2013,2013,18557782.87
860,B1_GA,Gross domestic product at market prices - output approach,VNBARSA,"National currency, constant prices, national base year, annual levels, seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,MXN,Mexican Peso,6,Millions,2013,2013,18512406.8
861,B1_GA,Gross domestic product at market prices - output approach,VNBARSA,"National currency, constant prices, national base year, annual levels, seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,MXN,Mexican Peso,6,Millions,2013,2013,18542044.78
862,B1_GA,Gross domestic product at market prices - output approach,VNBARSA,"National currency, constant prices, national base year, annual levels, seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,MXN,Mexican Peso,6,Millions,2013,2013,18512874.55
863,B1_GA,Gross domestic product at market prices - output approach,VNBARSA,"National currency, constant prices, national base year, annual levels, seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,MXN,Mexican Peso,6,Millions,2013,2013,18472536.79
864,B1_GA,Gross domestic product at market prices - output approach,VNBARSA,"National currency, constant prices, national base year, annual levels, seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,MXN,Mexican Peso,6,Millions,2013,2013,18367535.23
865,B1_GA,Gross domestic product at market prices - output approach,VNBARSA,"National currency, constant prices, national base year, annual levels, seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,MXN,Mexican Peso,6,Millions,2013,2013,18139598.09
866,B1_GA,Gross domestic product at market prices - output approach,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,2013,2013,4505953.8425
867,B1_GA,Gross domestic product at market prices - output approach,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,2013,2013,4668660.9025
868,B1_GA,Gross domestic product at market prices - output approach,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,2013,2013,4601888.075
869,B1_GA,Gross domestic product at market prices - output approach,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2018-Q4,Q4-2018,MXN,Mexican Peso,6,Millions,2013,2013,4744821.1075
870,B1_GA,Gross domestic product at market prices - output approach,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2019-Q1,Q1-2019,MXN,Mexican Peso,6,Millions,2013,2013,4557024.8425
871,B1_GA,Gross domestic product at market prices - output approach,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2019-Q2,Q2-2019,MXN,Mexican Peso,6,Millions,2013,2013,4615132.7125
872,B1_GA,Gross domestic product at market prices - output approach,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2019-Q3,Q3-2019,MXN,Mexican Peso,6,Millions,2013,2013,4582784.25
873,B1_GA,Gross domestic product at market prices - output approach,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2019-Q4,Q4-2019,MXN,Mexican Peso,6,Millions,2013,2013,4710064.7025
874,B1_GA,Gross domestic product at market prices - output approach,VNBQR,"National currency, constant prices, national base year, quarterly levels",Q,Quarterly,2020-Q1,Q1-2020,MXN,Mexican Peso,6,Millions,2013,2013,4494405.5125
875,B1_GA,Gross domestic product at market prices - output approach,VNBQRSA,"National currency, constant prices, national base year, quarterly levels, seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,MXN,Mexican Peso,6,Millions,2013,2013,4632091.7725
876,B1_GA,Gross domestic product at market prices - output approach,VNBQRSA,"National currency, constant prices, national base year, quarterly levels, seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,MXN,Mexican Peso,6,Millions,2013,2013,4629219.2175
877,B1_GA,Gross domestic product at market prices - output approach,VNBQRSA,"National currency, constant prices, national base year, quarterly levels, seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,MXN,Mexican Peso,6,Millions,2013,2013,4639445.7175
878,B1_GA,Gross domestic product at market prices - output approach,VNBQRSA,"National currency, constant prices, national base year, quarterly levels, seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,MXN,Mexican Peso,6,Millions,2013,2013,4628101.7
879,B1_GA,Gross domestic product at market prices - output approach,VNBQRSA,"National currency, constant prices, national base year, quarterly levels, seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,MXN,Mexican Peso,6,Millions,2013,2013,4635511.195
880,B1_GA,Gross domestic product at market prices - output approach,VNBQRSA,"National currency, constant prices, national base year, quarterly levels, seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,MXN,Mexican Peso,6,Millions,2013,2013,4628218.6375
